,Fri,Mon,Tue,Wed,Thu,Ave,,List breakdowns that impacted availabilities,,,
HD,74%,83%,100%,94%,92%,89%,,,,,
RT,95%,96%,70%,89%,90%,88%,RT0046 Cable,,,,
SR,97%,95%,100%,90%,68%,90%,SR0017  Diesel tank loose,,,,
DT Diesel,98%,95%,100%,98%,98%,98%,,,,,
FL Diesel,98%,100%,100%,99%,98%,99%,,,,,
