Fleet / Equipment,Planned,Actual,Schedule Compliance,Target,Comment
FL,,,,0.95,
DT,2,2,100%,0.95,"DT0153  ,  DT0174"
HD,2,2,100%,0.95,HD0060; HD0048
RT,3,2,67%,0.95,RT0027; RT0046 (RT0060 WILL SERVICE TODAY)
SR,2,2,100%,0.95,SR0040 Serviced 11/09/2025 (Mining did not bring machine over weekend to be serviced)  SR0017 Serviced on the 06/09/2025
UV Emulsion Units,,,,0.95,
Support Equipment,,,,0.95,
