Availability,Target,ProdYear,Month
93%,85%,2025,Mar
63%,85%,2025,Apr
75%,85%,2025,May
90%,85%,2025,Jun
83%,85%,2026,Jul
85%,85%,2026,Aug
91%,85%,2026,Sep
