;Fri;Mon;Tue;Wed;Thur;Average;Comments
DT;Pay Friday;95,0%;97,0%;96,0%;98,0%;96,5%;
FL;Pay Friday;64,0%;79,0%;77,0%;84,0%;76,0%;"FL66 axle; FL102 aircon"
HD;Pay Friday;92,0%;94,0%;86,0%;86,0%;89,5%;
RT;Pay Friday;84,0%;92,0%;90,0%;96,0%;90,5%;
SR;Pay Friday;65,0%;58,0%;65,0%;84,0%;68,0%;"SR42 engine; SR29 coupling"
