DAY;Friday, 29 August 2025;Saturday, 30 August 2025;Sunday, 31 August 2025;Monday, 01 September 2025;Tuesday, 02 September 2025;Wednesday, 03 September 2025;Thursday, 04 September 2025;AVERAGE FOR WEEK;AVERAGE FOR MONTH;AVERAGE FOR YEAR
ACTUAL;100,0;100,0;100,0;95,2;100,0;100,0;100,0;98,99;98,99;96,73
TARGET;95,0;95,0;95,0;95,0;95,0;95,0;95,0;95,0;95,0;95,0
