Fleet / Equipment;;;Planned;;Actual;;Schedule Compliance;;Target;;Comment
FL;;;1;;1;;100%;;95%;;FL0118 was serviced on 03/09/2025
DT;;;1;;1;;100%;;95%;;DT0173 was serviced on 04/09/2025
HD;;;2;;1;;50%;;95%;;"HD0059; HD0066 WILL SERVICE TODAY"
RT;;;2;;1;;50%;;95%;;"RT0045; RT0037 WILL SERVICE OVER THE WEEKEND"
SR;;;3;;1;;33%;;95%;;SR0052 was serviced on 04/09/2025 (SR0040 WILL SERVICE TODAY AND SR0017 WILL SERVICE ON SATURDAY)
UV Emulsion Units;;;;;;;;;95%;;
Support Equipment;;;5;;4;;80%;;95%;;"LD0451; LD0563; LD0600; LD0602; UV0076 WILL SERVICE OVER THE WEEKEND"
;;;;;;;;;;;
