Equipment,Friday,Monday,Tuesday,Wednesday,Thursday,Average,Breakdowns - Comments
HD,89.0%,92.0%,91.0%,73.0%,86.0%,86.2%,
RT,89.0%,93.0%,95.0%,96.0%,83.0%,91.2%,
SR,96.0%,81.0%,59.0%,48.0%,57.0%,68.2%,SR0037 - BRAKES SLIPPING; SR0040- Fire suppression systen.
DT Diesel,100.0%,95.0%,98.0%,92.0%,96.0%,96.2%,
FL Diesel,98.0%,99.0%,93.0%,84.0%,83.0%,91.4%,
Average,,,,,,86.6%,
