Fleet,Planned,Actual,Compliance,Target,Compliance %,Reasons for Non-Compliance
FL,,,#DIV/0!,0.95,#DIV/0!,
DT,1,1,1,0.95,100.0%,DT0173
HD,2,2,1,0.95,100.0%,HD0048; HD0060
RT,2,2,1,0.95,100.0%,SR0017
SR,1,1,1,0.95,100.0%,UV0104; LD0507; UV0127 ON BREAKDOWN
UV Emulsion Units,,,#DIV/0!,0.95,#DIV/0!,
Support Equipment,3,2,0.66666666666666696,0.95,66.7%,Weekly Quality Service Report
