DTe,DT0146,96.85%
DTe,DT0147,100.00%
DTe,DT0149,21.69%
DTe,DT0150,99.69%
DTe,DT0162,99.25%
DTe,DT0163,71.23%
DTe,DT0171,93.73%
FLe,FL0098,98.10%
FLe,FL0099,99.04%
FLe,FL0107,96.66%
FLe,FL0108,100.00%
FLe,FL0112,81.21%
FLe,FL0113,83.58%
