Fleet / Equipment;;;Planned;;Actual;;Schedule Compliance;;Target;;Comment
FL;;;2;;2;;100%;;95%;;"FL0064; FL0119"
DT;;;0;;;;;;95%;;
HD;;;2;;2;;100%;;95%;;"HD0059; HD0066"
RT;;;2;;1;;50%;;95%;;"RT0045; RT0037 (RT0045 WILL SERVICE TODAY)"
SR;;;0;;;;;;95%;;
UV Emulsion Units;;;0;;;;;;95%;;
Support Equipment;;;2;;2;;100%;;95%;;"DZ0012; LD0507"
;;;;;;;;;;;
