DAY;2025/08/15;2025/08/16;2025/08/17;2025/08/18;2025/08/19;2025/08/20;2025/08/21;WEEK AVE;MONTH AVE
ACTUAL; 100 ; 100 ; 100 ; 100 ; 100 ; 100 ; 68 ; 93 ; 97 
TARGET; 95 ; 95 ; 95 ; 95 ; 95 ; 95 ; 95 ; 95 ; 95 
