;Fri;Mon;Tue;Wed;Thu;Ave;;List breakdowns that impacted availabilities;;;
HD;72%;78%;84%;88%;87%;82%;HD57 Powerpack, HD58 Hydr hose burst, HD54 out;;;;
RT;81%;84%;77%;71%;75%;78%;RT44, feedrotation, Engine not starting & power pack;;;;
SR;53%;68%;58%;58%;54%;58%;SR43 Tyre bay ( wheel nuts)SR35 NOGO Tyres out of stock SR39 oil leak,SR26 Vbelt torn & hydr hose leak, SR38 &SR44  Fire suppresion SR24 boom broken;;;;
DT Diesel;74%;65%;65%;79%;85%;74%;DT109 tyres, DT119 Gears, brakes & comms problem,, DT118 engine cut/strata, reverse camera;;;;
FL Diesel;100%;100%;96%;93%;95%;97%;;;;;
DT batteries;69%;64%;63%;67%;64%;65%;DT154, overspeedingDT131 strata maint;;;;
FL Batteries;100%;96%;98%;88%;87%;94%;;;;;
