Fleet / Equipment;Planned;Actual;Schedule Compliance;Target
DT;1;1;100%;100%
FL;1;1;100%;100%
HD;2;2;100%;100%
RT;4;4;100%;100%
SR - Service Compliance;1;1;100%;100%
Support Equipment;7;7;100%;100%
SR - Weekly Inspection ;8;8;100%;100%
