Earliest Date,Latest Date,Availability,Machine_id,Equipment Type,First Equipment Type
2025-08-25 00:00:00,2025-08-30 00:00:00,100%,DT0146,DT,DT
2025-08-25 00:00:00,2025-08-30 00:00:00,93%,DT0147,DT,DT
2025-08-25 00:00:00,2025-08-30 00:00:00,46%,DT0149,DT,DT
2025-08-25 00:00:00,2025-08-30 00:00:00,0%,DT0150,DT,DT
2025-08-25 00:00:00,2025-08-30 00:00:00,98%,DT0162,DT,DT
2025-08-25 00:00:00,2025-08-30 00:00:00,98%,DT0163,DT,DT
2025-08-25 00:00:00,2025-08-30 00:00:00,0%,DT0171,DT,DT
