Fleet / Equipment;;;Planned;;Actual;;Schedule Compliance;;Target;;Comment
FL;;;1;;1;;100%;;95%;;
DT;;;1;;1;;100%;;95%;;
FL BEV;;;3;;3;;100%;;95%;;
DT BEV;;;1;;1;;100%;;95%;;
HD;;;5;;4;;80%;;95%;;HD57 rescheduled to Friday 29/08/2025
RT;;;5;;4;;80%;;95%;;RT0047 did not come for service
SR;;;5;;5;;100%;;95%;;
UV Emulsion Units;;;0;;0;;;;95%;;
Support Equip. Diesel Foreman;;;0;;0;;;;95%;;
Support Equip Utility Foreman;;;7;;7;;100%;;95%;;
;;;;;;;;;;;
