Fleet Type,Availability_Both,Date
DT,82.31%,2025-08-25 00:00:00
DT,88.10%,2025-08-26 00:00:00
DT,94.32%,2025-08-27 00:00:00
DT,93.45%,2025-08-28 00:00:00
DT,100.00%,2025-08-29 00:00:00
DT,100.00%,2025-08-30 00:00:00
FL,92.10%,2025-08-25 00:00:00
FL,85.54%,2025-08-26 00:00:00
FL,59.07%,2025-08-27 00:00:00
FL,75.44%,2025-08-28 00:00:00
FL,83.33%,2025-08-29 00:00:00
FL,83.33%,2025-08-30 00:00:00
HD,96.80%,2025-08-25 00:00:00
HD,79.94%,2025-08-26 00:00:00
HD,93.40%,2025-08-27 00:00:00
HD,93.68%,2025-08-28 00:00:00
HD,100.00%,2025-08-29 00:00:00
HD,100.00%,2025-08-30 00:00:00
RT,80.72%,2025-08-25 00:00:00
RT,95.34%,2025-08-26 00:00:00
RT,84.58%,2025-08-27 00:00:00
RT,94.72%,2025-08-28 00:00:00
RT,83.33%,2025-08-29 00:00:00
RT,83.33%,2025-08-30 00:00:00
SR,96.36%,2025-08-25 00:00:00
SR,96.08%,2025-08-26 00:00:00
SR,91.91%,2025-08-27 00:00:00
SR,62.53%,2025-08-28 00:00:00
SR,50.00%,2025-08-29 00:00:00
SR,50.00%,2025-08-30 00:00:00
