,Fri,Mon,Tue,Wed,Thu,Ave,,List breakdowns that impacted availabilities,,,
HD,76%,86%,73%,83%,,80%,"HD0062 Engine overheat, HD0056 No engine oil",,,,
RT,90%,96%,89%,94%,,92%,,,,,
SR,95%,73%,78%,91%,,84%,"SR0030 Boom Cylinder, Strata rotaion light",,,,
DT Diesel,84%,85%,83%,88%,,85%,,,,,
FL Diesel,92%,77%,94%,97%,,90%,,,,,
DT batteries,86%,81%,84%,92%,,86%,,,,,
FL Batteries,99%,84%,95%,93%,,93%,,,,,
