Fleet / Equipment,Planned,Actual,Schedule Compliance,Target,Comment
FL,0,0,,95%,
DT,0,0,0%,95%,
HD,2,2,100%,95%,HD0059; HD0066
RT,3,3,100%,95%,RT0045; RT0037; RT0027
SR,1,1,100%,95%,SR0037
UV Emulsion Units,0,0,0%,95%,
Support Equipment,3,3,100%,95%,LD0516; LD0566; LD0601
,,,,,
