Equipment,Friday,Monday,Tuesday,Wednesday,Thursday,Average,Breakdowns - Comments
HD,89.0%,85.0%,81.0%,84.0%,72.0%,82.2%,HD69 Engine not starting
RT,87.0%,86.0%,82.0%,82.0%,83.0%,84.0%,
SR,83.0%,97.0%,89.0%,99.0%,86.0%,90.8%,
DT Diesel,92.0%,94.0%,89.0%,89.0%,84.0%,89.6%,
FL Diesel,99.0%,93.0%,90.0%,92.0%,71.0%,89.0%,FL101 Aircon gas & bucket accum lowpressure
DT batteries,92.0%,88.0%,92.0%,91.0%,86.0%,89.8%,
FL Batteries,100.0%,95.0%,100.0%,90.0%,97.0%,96.4%,
Average,,,,,,88.8%,
