,Fri,Mon,Tue,Wed,Thu,Ave,,List breakdowns that impacted availabilities,,,
HD,88%,87%,93%,87%,93%,90%,,,,,
RT,100%,95%,95%,92%,92%,95%,,,,,
SR,80%,93%,89%,90%,96%,90%,,,,,
DT Diesel,89%,81%,91%,90%,81%,86%,,,,,
FL Diesel,65%,79%,80%,79%,47%,70%,"FL101 Fire Supp, FL90 Engine Mountings, FL82 SWD box, FL91 Hose broken",,,,
DT batteries,95%,91%,93%,80%,82%,88%,,,,,
FL Batteries,77%,94%,99%,85%,85%,88%,,,,,
