Earliest Date,Latest Date,Availability,Machine_id,Equipment Type,First Equipment Type
2025-09-29 00:00:00,2025-10-04 00:00:00,85%,FL0098,FL,FL
2025-09-29 00:00:00,2025-10-04 00:00:00,96%,FL0107,FL,FL
2025-09-29 00:00:00,2025-10-04 00:00:00,80%,FL0108,FL,FL
2025-09-29 00:00:00,2025-10-04 00:00:00,94%,FL0112,FL,FL
2025-09-29 00:00:00,2025-10-04 00:00:00,82%,FL0113,FL,FL
