Fleet / Equipment,Planned,Actual,Schedule Compliance,Target,Comment
FL,1,1,100%,95%,FL0118
DT,2,2,100%,95%,DT0173; DT0152
HD,2,1,50%,95%,HD0059; HD0066 WILL SERVICE OVER THE WEEKEND
RT,3,2,67%,95%,RT0045; RT0037; RT0027 WILL SERVICE TODAY
SR,0,0,NA,95%,
UV Emulsion Units,0,0,NA,95%,
Support Equipment,5,3,60%,95%,UV0093; UV0109; LD0564; LD0558 WILL SERVICE TODAY; UV0097 ON BREAKDOWN (BUCKET MOVEMENT)
,,,,,
