Equipment,Friday,Monday,Tuesday,Wednesday,Thursday,Average,Breakdowns - Comments
DT,55.0%,53.0%,57.0%,68.0%,81.0%,62.8%,DT128 transmission; DT121 gears; DT159 ECM
FL,73.0%,57.0%,64.0%,76.0%,61.0%,66.2%,FL86 brakes; FL102 axle; FL106 fire suppression
HD,97.0%,87.0%,83.0%,90.0%,92.0%,89.8%,
RT,99.0%,90.0%,94.0%,86.0%,98.0%,93.4%,
SR,81.0%,97.0%,99.0%,93.0%,88.0%,91.6%,
