Fleet Type,Availability_Both,Date
DT,79.37%,2025-09-29 00:00:00
DT,68.25%,2025-09-30 00:00:00
DT,73.62%,2025-10-01 00:00:00
DT,79.69%,2025-10-02 00:00:00
DT,71.90%,2025-10-03 00:00:00
DT,77.78%,2025-10-04 00:00:00
FL,84.44%,2025-09-29 00:00:00
FL,76.41%,2025-09-30 00:00:00
FL,61.93%,2025-10-01 00:00:00
FL,63.18%,2025-10-02 00:00:00
FL,96.84%,2025-10-03 00:00:00
FL,99.71%,2025-10-04 00:00:00
HD,94.31%,2025-09-29 00:00:00
HD,84.15%,2025-09-30 00:00:00
HD,91.54%,2025-10-01 00:00:00
HD,89.30%,2025-10-02 00:00:00
HD,98.36%,2025-10-03 00:00:00
HD,84.12%,2025-10-04 00:00:00
RT,85.13%,2025-09-29 00:00:00
RT,84.22%,2025-09-30 00:00:00
RT,91.35%,2025-10-01 00:00:00
RT,97.13%,2025-10-02 00:00:00
RT,92.00%,2025-10-03 00:00:00
RT,98.50%,2025-10-04 00:00:00
SR,94.74%,2025-09-29 00:00:00
SR,98.16%,2025-09-30 00:00:00
SR,99.29%,2025-10-01 00:00:00
SR,95.66%,2025-10-02 00:00:00
SR,100.00%,2025-10-03 00:00:00
SR,83.33%,2025-10-04 00:00:00
