Fleet,Planned,Actual,Compliance,Target,Compliance %,Reasons for Non-Compliance
FL,2,2,1,0.95,100.0%,
DT,,,#DIV/0!,0.95,#DIV/0!,
HD,2,2,1,0.95,100.0%,HD0059; HD0060
RT,3,3,1,0.95,100.0%,RT0045; RT0037; RT0027
SR,,,#DIV/0!,0.95,#DIV/0!,
UV Emulsion Units,,,#DIV/0!,0.95,#DIV/0!,
Support Equipment,2,2,1,0.95,100.0%,LD0429; LD0600
