Fleet / Equipment,Planned,Actual,Schedule Compliance,Target,Reasons for Non-Compliance
DT,2,2,100%,100%,
FL,2,2,100%,100%,
HD,2,2,100%,100%,
RT,3,2,67%,100%,RT0053 Planned for weekend
SR - Service Compliance,1,0,0%,100%,WE ARRANGE WITH GRABEN TO DROP THE TMM FOR SERVICE  AND THEY TOLD MMUSO THEY WILL BRING IT BUT TMM NOT ARRIVED YET
Support Equipment,7,5,71%,100%,LD0509 DRIVER WAS ESCORTING DT AND MATERIALS=LD0579 WAS ESCORTING UV 0037 TO SCRAP BUT ON BOTH MACHINE WE ARRANGE THE SERVICE ON THE 03/10/2025
SR - Weekly Inspection ,8,8,100%,100%,
