Equipment,Friday,Monday,Tuesday,Wednesday,Thursday,Average,Breakdowns - Comments
HD,86.0%,96.0%,92.0%,94.0%,95.0%,92.6%,
RT,94.0%,93.0%,93.0%,94.0%,97.0%,94.2%,
SR,80.0%,96.0%,99.0%,89.0%,95.0%,91.8%,
DT Diesel,67.0%,87.0%,89.0%,92.0%,89.0%,84.8%,Labour Cost
FL Diesel,46.0%,74.0%,90.0%,83.0%,79.0%,74.4%,"DT131 steering not turning,DT161 no acceleration"
DT batteries,68.0%,66.0%,63.0%,66.0%,70.0%,66.6%,"FL82 scrapped, FL91 fire Supp"
FL Batteries,97.0%,99.0%,100.0%,93.0%,96.0%,97.0%,
Average,,,,,,85.9%,
