Fleet / Equipment,Planned,Actual,Schedule Compliance,Target,Comment
FL,3,3,100%,95%,"FL0081, FL0083.FL0119"
DT,0,0,,95%,
HD,2,2,100%,95%,HD0060; HD0048
RT,2,2,100%,95%,RT0060; RT0046
SR,1,1,100%,95%,SR0037
UV Emulsion Units,0,0,,95%,
Support Equipment,0,0,,95%,
,,,,,
