Fleet / Equipment,Planned,Actual,Schedule Compliance,Target,Comment
FL,1,1,100%,95%,
DT,2,2,100%,95%,
FL BEV,0,0,,95%,
DT BEV,1,1,100%,95%,
HD,5,5,100%,95%,
RT,5,4,80%,95%,RT0041 not in use
SR,5,4,80%,95%,SR0034 - Not in for service 
UV Emulsion Units,3,3,100%,95%,
Support Equip. Diesel Foreman,1,1,100%,95%,
Support Equip Utility Foreman,7,7,100%,95%,
