Fleet / Equipment,Planned,Actual,Schedule Compliance,Target,Reasons for Non-Compliance
DT,3,2,67%,100%,DT0128 HAS BEEN ON BREAKDOWN OF INPUT SHAFT AND GEARS. 
FL,3,1,33%,100%,FL0120 & FL0114 not serviced due to low availabilty of loaders
HD,4,4,100%,100%,
RT,1,1,100%,100%,
SR - Service Compliance,1,1,100%,100%,
Support Equipment,5,5,100%,100%,
SR - Weekly Inspection ,8,8,100%,100%,
