Equipment,Friday,Monday,Tuesday,Wednesday,Thursday,Average,Breakdowns - Comments
DT,88.0%,74.0%,65.0%,81.0%,79.0%,77.4%,"DT121 Gears, DT128 torque converter; DT120 aircon"
FL,65.0%,95.0%,92.0%,92.0%,92.0%,87.2%,
HD,98.0%,83.0%,84.0%,96.0%,90.0%,90.2%,
RT,89.0%,94.0%,98.0%,85.0%,99.0%,93.0%,
SR,92.0%,86.0%,92.0%,84.0%,87.0%,88.2%,
