DAY,"Friday, September 26, 2025","Saturday, September 27, 2025","Sunday, September 28, 2025","Monday, September 29, 2025","Tuesday, September 30, 2025","Wednesday, October 1, 2025","Thursday, October 2, 2025",AVERAGE FOR WEEK,AVERAGE FOR MONTH,AVERAGE FOR YEAR
ACTUAL,100.0,100.0,100.0,89.7,96.9,100.0,100.0,97.02,100.00,96.71
TARGET,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
