Day,Date,Feed Rate,Feed Rate Target,Actual Rate,Tons Hoisted,Hours to Hoist,Delays (Hours)
Friday,45954,686.76,523.00,365.72,6607.00,18.07,5.93
Saturday,45955,0.00,523.00,0.00,0.00,0.00,24.00
Sunday,45956,652.51,523.00,197.47,493.84,2.50,21.50
Monday,45957,682.04,523.00,682.04,5991.19,11.98,9.02
Tuesday,45958,692.55,523.00,310.48,6062.16,19.53,4.47
Wednesday,45959,692.85,523.00,343.51,3327.22,9.69,14.31
Thursday,45960,705.61,523.00,436.00,6271.62,13.48,7.52
Week Average,45957,587.47,523.00,307.59,28753.03,75.25,86.75
