DATE,12-Sep-25,13-Sep-25,14-Sep-25,15-Sep-25,16-Sep-25,17-Sep-25,18-Sep-25,AVERAGE FOR WEEK,AVERAGE FOR MONTH,AVERAGE FOR YEAR
ACTUAL,100.0,100.0,100.0,79.9,100.0,99.6,100.0,96.12,98.26,96.96
TARGET,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
