DAY,"Friday, September 19, 2025","Saturday, September 20, 2025","Sunday, September 21, 2025","Monday, September 22, 2025","Tuesday, September 23, 2025","Wednesday, September 24, 2025","Thursday, September 25, 2025",AVERAGE FOR WEEK,AVERAGE FOR MONTH,AVERAGE FOR YEAR
ACTUAL,100.0,100.0,73.4,100.0,68.1,100.0,100.0,92.02,96.84,96.64
TARGET,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
