Type,Machine_id,All Delays Levels,Comment,Hours
FLe,FL0108,/Equipment/Operational Delays/Battery/Flat Battery,CHARGING BATTERY.,5.82
FLe,FL0107,/Equipment/Breakdown Mechanical,Centre Bearing Rubber@Batt Bay,4.05
FLe,FL0107,/Equipment/Operational Delays/Battery/Flat Battery,Battery charging,3.10
FLe,FL0098,/Equipment/Breakdown Electrical,RED WARNING LIGHT@BATTERY BAY,2.92
FLe,FL0107,/Equipment/Breakdown Mechanical,Gears@Batt Bay,2.67
FLe,FL0113,/Equipment/Operational Delays/Battery/Flat Battery,Battery charging,2.45
FLe,FL0107,/Equipment/Operational Delays/Battery/Flat Battery,CHARGING BATTERY.,2.42
FLe,FL0108,/Equipment/Operational Delays/Battery/Flat Battery,Charging,2.27
FLe,FL0098,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v,Green + Red WLight@Batt Bay,1.85
FLe,FL0108,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v/STRATA Breakdown,"strata system faulty @ R5,54w-nedbank",1.48
FLe,FL0112,/Equipment/Operational Delays/Battery,CHANGE BATTERY.,1.30
FLe,FL0107,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v/STRATA Breakdown,COLLISION ERROR@BATTERY BAY,1.05
FLe,FL0098,/Equipment/Breakdown Mechanical,invertor error @ sim2n parking,1.03
FLe,FL0112,/Equipment/Operational Delays/Battery/Flat Battery,CHARGING BATTERY.,0.73
FLe,FL0108,/Equipment/Breakdown Mechanical,Fire supp wlight@Batt Bay,0.47
FLe,FL0113,/Equipment/Operational Delays/Battery,CHANGING BATTERY.,0.40
FLe,FL0108,/Equipment/Operational Delays,change battery,0.37
FLe,FL0098,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v,BMS Faulty@Batt Bay,0.32
